CODE,Risk,Poverty,Education,Unemployment,Crime,ACEs
19133,97.8,61.81,19.21,25.89,27.61,96.9
19140,95.7,46.43,12.98,25.51,23.56,98.2
19122,93.6,52.99,11.04,21.87,13.15,NA
19134,91.4,56.28,15.28,22.47,14.41,87
19121,89.3,61.57,6.12,21.73,22.14,93.4
19139,87.2,39.43,6.02,18.38,17.53,92.5
19142,85.1,32.62,8.74,17.21,9.66,NA
19132,82.9,41.64,4.8,23.39,25.26,86.7
19120,80.8,32.96,11.88,16.73,8.73,95.9
19124,78.7,37.6,11.36,19.94,11.87,71
19123,76.5,20.97,5.8,16.36,14.95,NA
19143,74.4,33.19,4.77,20.02,13.9,77.2
19141,72.3,28.08,4.66,17.02,15.64,89.2
19104,70.2,35.48,5.37,12.56,8.52,NA
19148,68,30.19,13.3,12.45,2.36,94.8
19144,65.9,32.21,4.01,16.26,11.16,91.6
19146,63.8,36.21,4.34,12.4,13.18,87.6
19145,61.7,31.82,7.59,14.09,7.85,79.3
19138,59.5,24,4.26,16.71,10.28,93.1
19125,55.3,31.34,6.92,14.36,0.85,92.1
19131,55.3,32.87,3.5,14.01,10.37,83.1
19149,53.1,23.03,7.93,17.07,1.06,77
19153,51,17.67,4.47,13.42,8.95,NA
19126,48.9,17.42,4.39,14.49,5.47,NA
19135,46.8,21.18,4.95,18.83,1.8,72.1
19137,44.6,23.31,5.23,17.21,0,NA
19129,42.5,30.67,3.63,9.73,9.1,NA
19151,40.4,23.47,2.73,13.62,6.85,NA
19111,36.1,16.68,5.93,12.12,1.24,80.6
19130,36.1,24.98,3.81,10.36,3.98,82.6
19147,34,29.95,6.96,7.84,3.22,60.7
19107,31.9,4.91,6.98,8.93,1.32,NA
19116,27.6,7.04,4.77,9.97,2.69,79.5
19136,27.6,16.48,3.36,14.62,0.98,73.7
19150,25.5,15.66,1.93,11.96,3.47,NA
19152,23.4,10.67,4.6,10.4,0.6,81.6
19119,21.2,15.31,2.45,9.97,3.42,75.9
19115,19.1,10.47,5.53,9.12,0,71.4
19114,17,11,2.36,11.24,0.64,NA
19106,10.6,13.46,3.19,3.5,0.86,NA
19127,10.6,10.07,1.82,6.67,1.61,NA
19128,10.6,7.33,3.38,9.3,0,79.2
19154,8.5,7.92,3.05,8.12,0.88,66.2
19103,6.3,3.52,0.59,5.7,0.9,63.1
19118,4.2,1.49,1.7,7.28,0,NA
19102,2.1,5.22,1.44,4.79,0,NA
